ligand,receptor,species
FBLN1,ITGB1,Human
FBLN2,ITGB3,Human
FBN1,ITGA5,Human
FBN1,ITGAV,Human
FBN1,ITGB1,Human
FBN1,ITGB3,Human
FCN2,LRP1,Human
FGA,CDH5,Human
FGA,ITGA2B,Human
FGA,ITGA5,Human
FGA,ITGAM,Human
FGA,ITGAV,Human
FGA,ITGAX,Human
FGA,ITGB1,Human
FGA,ITGB2,Human
FGA,ITGB3,Human
FGB,ITGA2B,Human
FGB,ITGA5,Human
FGB,ITGAM,Human
FGB,ITGAV,Human
FGB,ITGB1,Human
FGB,ITGB2,Human
FGF10,FGFR2,Human
FGF13,SCN5A,Human
FGF13,SCN8A,Human
FGF16,FGFR2,Human
FGF16,FGFR3,Human
FGF16,FGFR4,Human
FGF17,FGFR1,Human
FGF17,FGFR2,Human
FGF17,FGFR3,Human
FGF17,FGFR4,Human
FGF18,FGFR1,Human
FGF18,FGFR2,Human
FGF18,FGFR3,Human
FGF18,FGFR4,Human
FGF19,FGFR1,Human
FGF19,FGFR2,Human
FGF19,FGFR3,Human
FGF19,FGFR4,Human
FGF19,KLB,Human
FGF1,FGFR1,Human
FGF1,FGFR2,Human
FGF1,FGFR3,Human
FGF1,FGFR4,Human
FGF1,NRP1,Human
FGF20,FGFR4,Human
FGF21,FGFR4,Human
FGF22,FGFR2,Human
FGF23,FGFR1,Human
FGF23,FGFR2,Human
FGF23,FGFR3,Human
FGF23,FGFR4,Human
FGF2,CD44,Human
FGF2,FGFR1,Human
FGF2,FGFR2,Human
FGF2,FGFR3,Human
FGF2,FGFR4,Human
FGF2,FGFRL1,Human
FGF2,GPC4,Human
FGF2,NRP1,Human
FGF2,SDC1,Human
FGF2,SDC2,Human
FGF2,SDC3,Human
FGF2,SDC4,Human
FGF3,FGFR1,Human
FGF3,FGFR2,Human
FGF3,FGFR3,Human
FGF3,FGFR4,Human
FGF4,FGFR1,Human
FGF4,FGFR2,Human
FGF4,FGFR3,Human
FGF4,FGFR4,Human
FGF4,NRP1,Human
FGF5,FGFR1,Human
FGF5,FGFR2,Human
FGF5,FGFR3,Human
FGF5,FGFR4,Human
FGF6,FGFR1,Human
FGF6,FGFR2,Human
FGF6,FGFR3,Human
FGF6,FGFR4,Human
FGF7,FGFR1,Human
FGF7,FGFR2,Human
FGF7,FGFR3,Human
FGF7,FGFR4,Human
FGF7,NRP1,Human
FGF8,FGFR1,Human
FGF8,FGFR2,Human
FGF8,FGFR3,Human
FGF8,FGFR4,Human
FGF9,FGFR1,Human
FGF9,FGFR2,Human
FGF9,FGFR3,Human
FGF9,FGFR4,Human
FGG,ITGA2B,Human
FGG,ITGA5,Human
FGG,ITGAV,Human
FGG,ITGB1,Human
FGG,ITGB2,Human
FGL1,EGFR,Human
FIGF,FLT4,Human
FIGF,ITGA9,Human
FIGF,KDR,Human
FIGF,NRP2,Human
FLT3LG,FLT3,Human
FN1,CD44,Human
FN1,COL13A1,Human
FN1,ITGA2,Human
FN1,ITGA2B,Human
FN1,ITGA3,Human
FN1,ITGA4,Human
FN1,ITGA5,Human
FN1,ITGA8,Human
FN1,ITGA9,Human
FN1,ITGAV,Human
FN1,ITGB1,Human
FN1,ITGB3,Human
FN1,ITGB6,Human
FN1,ITGB7,Human
FN1,ITGB8,Human
FN1,MAG,Human
FN1,NT5E,Human
FN1,PLAUR,Human
FN1,SDC2,Human
FN1,TMPRSS6,Human
FN1,TNFRSF11B,Human
FN1,TSHR,Human
FSHB,FSHR,Human
GALP,GALR1,Human
GALP,GALR2,Human
GALP,GALR3,Human
GAL,GALR1,Human
GAL,GALR2,Human
GAL,GALR3,Human
GAS6,AXL,Human
GAS6,MERTK,Human
GAST,CCKBR,Human
GCG,GCGR,Human
GCG,GLP1R,Human
GCG,GLP2R,Human
GDF11,ACVR1B,Human
GDF11,ACVR2A,Human
GDF11,ACVR2B,Human
GDF2,ACVR1,Human
GDF2,ACVR2A,Human
GDF2,ACVR2B,Human
GDF2,ACVRL1,Human
GDF2,BMPR2,Human
GDF5,ACVR1,Human
GDF5,ACVR2A,Human
GDF5,ACVR2B,Human
GDF5,BMPR1A,Human
GDF5,BMPR1B,Human
GDF5,BMPR2,Human
GDF5,ROR2,Human
GDF6,BMPR1A,Human
GDF6,BMPR1B,Human
GDF6,BMPR2,Human
GDF7,ACVR2A,Human
GDF7,BMPR1A,Human
GDF7,BMPR2,Human
GDF9,ACVR2A,Human
GDF9,BMPR1A,Human
GDF9,BMPR1B,Human
GDF9,BMPR2,Human
GDF9,FXYD6,Human
GDF9,ORAI2,Human
GDF9,TGFBR1,Human
GDNF,GFRA1,Human
GDNF,GFRA2,Human
GDNF,RET,Human
GH1,GHR,Human
GH1,PRLR,Human
GH2,GHR,Human
GHRH,GHRHR,Human
GHRH,VIPR1,Human
GHRL,GHRHR,Human
GHRL,GHSR,Human
GHRL,GPR39,Human
GHRL,MLNR,Human
GIP,DPP4,Human
GIP,GIPR,Human
GNAI2,ADCY1,Human
GNAI2,ADORA1,Human
