ligand,receptor,species
IL37,IL1RAPL1,Human
IL1B,SIGIRR,Human
CKLF,CCR4,Human
FARP2,PLXNA3,Human
FARP2,PLXNA1,Human
FARP2,PLXNA2,Human
FARP2,PLXNA4,Human
LAMC2,ITGA2,Human
LAMC2,COL17A1,Human
NID1,ITGB1,Human
NMU,ADRA2A,Human
NMU,GRM7,Human
NMU,MTNR1A,Human
WNT5A,LDLR,Human
WNT5A,EPHA7,Human
WNT5A,VANGL2,Human
WNT5A,PTPRK,Human
WNT5A,ADRB2,Human
WNT5A,FZD9,Human
WNT5A,FZD3,Human
FGF10,FGFRL1,Human
FGF10,FGFR1,Human
ICAM1,MUC1,Human
ICAM1,CAV1,Human
ICAM1,SPN,Human
KNG1,ITGAM,Human
KNG1,ADRA2A,Human
KNG1,MTNR1A,Human
KNG1,SDC2,Human
KNG1,GRM7,Human
VCAN,TLR1,Human
TNC,SDC1,Human
TNC,ITGB3,Human
TNC,ITGB6,Human
TNC,ITGA8,Human
TNC,SDC4,Human
TNC,ITGA2,Human
EGF,LDLR,Human
EGF,FSHR,Human
EGF,ADRB2,Human
EGF,CAV1,Human
EGF,NRP1,Human
EGF,AXL,Human
SEMA3A,PLXNA3,Human
WNT2,FZD4,Human
WNT2,FZD3,Human
WNT2,FZD2,Human
GAL,ADRA2A,Human
GAL,MTNR1A,Human
GAL,GRM7,Human
SLIT1,FLRT3,Human
TIMP3,CD44,Human
TIMP3,MET,Human
INHBE,ACVR2B,Human
LUM,ITGB1,Human
HDC,HRH1,Human
HDC,HRH2,Human
PTH2,ADCYAP1R1,Human
PTH2,TSHR,Human
PTH2,GPR20,Human
PTH2,GPR84,Human
PTH2,ADRB2,Human
PTH2,ADRB3,Human
PTH2,VIPR1,Human
CGN,TGFBR2,Human
CGN,OCLN,Human
CGN,TGFBR1,Human
LEFTY1,ACVR2B,Human
LEFTY1,ACVR1B,Human
CALM2,KCNQ3,Human
CALM2,EGFR,Human
CALM2,KCNQ5,Human
CALM2,GRM7,Human
CALM2,MYLK,Human
CALM2,PDE1A,Human
CALM2,INSR,Human
CALM2,ADCY8,Human
CALM2,PDE1C,Human
CALM2,GP6,Human
CALM2,SCN10A,Human
CALM2,PLPP6,Human
CALM2,AQP6,Human
CALM2,GRM5,Human
CALM2,MYLK2,Human
CALM2,AQP1,Human
CALM2,SCN4A,Human
LRIG1,EGFR,Human
LRIG1,MET,Human
SFRP2,FZD5,Human
MEGF10,ABCA1,Human
CRH,ADCYAP1R1,Human
CRH,ADRB2,Human
CRH,GPR84,Human
CRH,PTH1R,Human
CRH,VIPR1,Human
CRH,GPR20,Human
CRH,ADRB3,Human
CRH,TSHR,Human
RSPO2,ZNRF3,Human
IFNA1,CR2,Human
LIN7C,KCNJ4,Human
GPHA2,EPHA6,Human
IL18,CD48,Human
IL18,IL18BP,Human
QDPR,DYSF,Human
PTH,ADCYAP1R1,Human
PTH,ADRB2,Human
PTH,GPR84,Human
PTH,VIPR1,Human
PTH,GPR20,Human
PTH,ADRB3,Human
PTH,TSHR,Human
BMP3,BMPR2,Human
BMP3,BMPR1A,Human
BMP3,BMPR1B,Human
BMP6,HJV,Human
SEMA3D,PLXND1,Human
WNT3A,LRP5,Human
WNT3A,ROR1,Human
WNT3A,ATP6AP2,Human
WNT3A,FZD3,Human
APP,VLDLR,Human
APP,MTNR1A,Human
APP,GRM7,Human
APP,LRP10,Human
APP,PLD1,Human
APP,TSPAN15,Human
APP,DCC,Human
APP,RPSA,Human
APP,AGER,Human
WNT7A,LDLR,Human
WNT7A,RECK,Human
WIF1,RYK,Human
CXCL13,GRM7,Human
CXCL13,MTNR1A,Human
NODAL,SMAD3,Human
SST,MTNR1A,Human
SST,GRM7,Human
WNT4,FZD8,Human
PIP,AQP5,Human
CALM3,KCNQ3,Human
CALM3,KCNQ5,Human
CALM3,ESR1,Human
CALM3,GRM7,Human
CALM3,MYLK,Human
CALM3,PDE1A,Human
CALM3,INSR,Human
CALM3,RYR2,Human
CALM3,PDE1C,Human
CALM3,GP6,Human
CALM3,SCN10A,Human
CALM3,AQP6,Human
CALM3,GRM5,Human
CALM3,MYLK2,Human
CALM3,AR,Human
CALM3,AQP1,Human
CALM3,SCN4A,Human
TFF2,MUC6,Human
TFF1,MUC5AC,Human
S100B,AGER,Human
S100A1,TRPM3,Human
S100A1,RYR2,Human
S100A1,RYR1,Human
S100A1,TLR4,Human
S100A1,AGER,Human
WNT1,ROR2,Human
WNT1,FZD5,Human
CXCL16,GRM7,Human
CXCL16,MTNR1A,Human
FGF11,FGFR2,Human
FGF11,FGFR1,Human
FGF11,FGFR3,Human
DRAXIN,DCC,Human
VCAM1,EZR,Human
VCAM1,MSN,Human
ARPC5,ADRB2,Human
ARPC5,LDLR,Human
INHBB,SMAD3,Human
COL6A3,ITGB1,Human
COL6A3,ITGA2,Human
CXCL3,MTNR1A,Human
CXCL3,GRM7,Human
CXCL5,MTNR1A,Human
CXCL5,ACKR1,Human
CXCL5,GRM7,Human
PPBP,MTNR1A,Human
PPBP,ACKR1,Human
PPBP,GRM7,Human
PF4,ACKR1,Human
PF4,GRM7,Human
PF4,MTNR1A,Human
TDGF1,ACVR2B,Human
TDGF1,SMAD3,Human
MELTF,TFRC,Human
CAMP,P2RX7,Human
CSF2,ITGB1,Human
FABP5,RXRA,Human
SHH,GAS1,Human
COL1A2,ITGB1,Human
COL1A2,ITGA11,Human
VEGFD,ITGA4,Human
VEGFD,ITGB1,Human
VEGFD,NRP2,Human
ARF6,PLD1,Human
JAM3,ITGB1,Human
JAM3,ITGB2,Human
HSP90B1,TLR9,Human
HSP90B1,TLR7,Human
HSP90B1,TLR4,Human
HSP90B1,TLR1,Human
COL6A2,ITGB1,Human
ANGPTL4,GPIHBP1,Human
FADD,ABCA1,Human
FADD,FAS,Human
FADD,TRADD,Human
PNOC,GRM7,Human
PNOC,MTNR1A,Human
CCL11,DPP4,Human
CCL11,ACKR1,Human
IGF1,INSR,Human
IGF1,IGF2R,Human
INSL5,MTNR1A,Human
INSL5,GRM7,Human
IL16,GRIN2B,Human
IL16,GRIN2A,Human
HSPA4,TLR4,Human
PCSK9,LDLR,Human
CD14,TLR6,Human
CD14,TLR9,Human
CD14,ITGB2,Human
CD14,TLR4,Human
CD14,TLR1,Human
COL3A1,ITGB1,Human
IL13,TMEM219,Human
NLGN2,MDGA1,Human
CXCL10,DPP4,Human
CXCL10,GRM7,Human
BMP1,BMPR2,Human
BMP1,BMPR1A,Human
BMP1,BMPR1B,Human
FGB,ITGB3,Human
FGB,TLR4,Human
FGA,PLAUR,Human
FGA,TLR4,Human
FGA,ITGAD,Human
CXCL8,SDC1,Human
CXCL8,SDC3,Human
CXCL8,SDC2,Human
CXCL8,ACKR1,Human
CXCL8,CXCR2,Human
CXCL8,GRM7,Human
CXCL11,DPP4,Human
CXCL11,ACKR1,Human
CXCL11,GRM7,Human
RGMB,HJV,Human
RGMB,BMPR2,Human
RGMB,BMPR1B,Human
F2,GP1BB,Human
CCL19,GRM7,Human
PLG,ITGAM,Human
PLG,PLAUR,Human
PLG,ITGB2,Human
PLG,IGF2R,Human
CSHL1,GHR,Human
LPL,CD44,Human
ADAM17,MUC1,Human
ADAM17,RHBDF2,Human
ADAM17,IL6R,Human
ADAM17,MET,Human
VEGFB,RET,Human
GNAI2,S1PR5,Human
GNAI2,S1PR3,Human
GNAI2,UNC5B,Human
GNAI2,CXCR3,Human
GNAI2,EDNRB,Human
GNAI2,ADCY7,Human
TLN1,ITGB3,Human
AGTRAP,RACK1,Human
PKM,CD44,Human
CALR,MPL,Human
LPA,ITGAM,Human
LPA,LPAR3,Human
LPA,ITGB2,Human
LPA,LPAR1,Human
LPA,LPAR4,Human
LPA,LPAR2,Human
FGF8,FGFRL1,Human
FGF13,FGFR1,Human
FGF13,FGFR2,Human
FGF13,FGFR3,Human
PENK,GRM7,Human
LAMA3,ITGB1,Human
MTMR4,SMAD3,Human
PSEN1,CD44,Human
BGN,TLR1,Human
BMP8A,BMPR2,Human
BMP8A,BMPR1A,Human
BMP8A,BMPR1B,Human
CSF1,SIRPA,Human
IZUMO1,IZUMO1R,Human
P4HB,MTTP,Human
JAG2,NOTCH4,Human
EFNA5,EPHA10,Human
NPW,GRM7,Human
BCAN,NRCAM,Human
CALCA,ADCYAP1R1,Human
CALCA,GPR84,Human
CALCA,GPR20,Human
CALCA,ADRB3,Human
CALCA,TSHR,Human
COL4A5,CD47,Human
COL4A5,ITGB1,Human
SLIT3,ROBO1,Human
PMCH,GRM7,Human
COL7A1,ITGB1,Human
NPB,GRM7,Human
BTLA,CD247,Human
GHRL,PTGER3,Human
GHRL,TBXA2R,Human
HSP90AA1,ITGB3,Human
FGG,ITGB3,Human
FGG,TLR4,Human
CXCL14,CXCR4,Human
DMP1,ITGB3,Human
WNT7B,FZD4,Human
WNT7B,TMED5,Human
NCR3LG1,NCR3,Human
COL9A3,ITGB1,Human
HMGB1,TLR9,Human
HMGB1,TLR4,Human
HMGB1,CXCR4,Human
HMGB1,AGER,Human
HMGB1,CD163,Human
FYN,SPN,Human
FN1,C5AR1,Human
FN1,ITGA6,Human
FN1,DPP4,Human
COL18A1,ITGB3,Human
HP,TLR4,Human
HP,CD163,Human
RSPO1,FZD8,Human
CALM1,KCNQ3,Human
CALM1,GRM3,Human
CALM1,CALCR,Human
CALM1,GRM4,Human
CALM1,CRHR1,Human
CALM1,GRM7,Human
CALM1,MYLK,Human
CALM1,PDE1A,Human
CALM1,HMMR,Human
CALM1,ADCYAP1R1,Human
CALM1,OPRM1,Human
CALM1,RYR2,Human
CALM1,GLP1R,Human
CALM1,PDE1C,Human
CALM1,TRPC3,Human
CALM1,SCN10A,Human
CALM1,AQP6,Human
CALM1,PTPRA,Human
CALM1,MYLK2,Human
CALM1,SCN4A,Human
COL9A1,ITGB1,Human
GIP,ADCYAP1R1,Human
GIP,TSHR,Human
GIP,GPR20,Human
GIP,GPR84,Human
APOA4,LDLR,Human
GAD1,GRM4,Human
ALKAL1,ALK,Human
PYY,DPP4,Human
COL4A2,ITGB3,Human
LAMC3,ITGA6,Human
LAMC3,ITGB1,Human
COL6A1,ITGB1,Human
COL6A1,ITGA6,Human
TGM2,ITGA4,Human
TGM2,TBXA2R,Human
DLL1,NOTCH4,Human
THBS2,ITGB3,Human
THBS2,NOTCH4,Human
THBS2,CD36,Human
LEFTY2,ACVR1B,Human
VIP,GPR84,Human
VIP,GPR20,Human
VIP,TSHR,Human
PTGS2,ALOX5,Human
XCL1,ADGRV1,Human
CCN2,ITGAM,Human
CCN2,NTRK1,Human
CCN2,ITGB2,Human
APOA2,LDLR,Human
SEMA4A,PLXNB2,Human
SEMA4A,PLXNB3,Human
EFNA1,EPHB6,Human
EFNA1,EPHA10,Human
EFNA3,EPHB6,Human
EFNA3,EPHA10,Human
S100A8,ITGB2,Human
S100A8,CD36,Human
S100A8,AGER,Human
S100A12,TLR4,Human
S100A12,CD36,Human
S100A9,ITGB2,Human
S100A9,CD36,Human
S100A9,AGER,Human
NGF,TRPV1,Human
NGF,MAGED1,Human
NGF,BEX3,Human
WNT2B,FZD4,Human
L1CAM,FGFR2,Human
L1CAM,EPHB2,Human
COL11A1,ITGB1,Human
CD40LG,ITGAM,Human
CD40LG,ITGB2,Human
CD40LG,TRAF3,Human
BMP5,BMPR2,Human
BMP5,BMPR1B,Human
GNAS,GLP1R,Human
GNAS,ADCY7,Human
COL5A1,ITGB1,Human
SFTPD,SIRPA,Human
SFTPD,TLR4,Human
MMP9,ITGAM,Human
MMP9,RECK,Human
MMP9,ITGB2,Human
SPTAN1,PTPRA,Human
COL9A2,ITGB1,Human
PLAU,ITGAM,Human
PLAU,VLDLR,Human
PLAU,ITGB1,Human
PLAU,ITGB2,Human
BMP8B,BMPR2,Human
BMP8B,BMPR1B,Human
ANGPTL2,LILRB2,Human
GHRH,ADCYAP1R1,Human
GHRH,GPR20,Human
GHRH,TSHR,Human
GHRH,GPR84,Human
COL16A1,ITGB1,Human
HSPG2,SDC1,Human
HSPG2,FGFR1,Human
COL5A2,ITGB1,Human
F10,ITGAM,Human
F10,ITGB2,Human
SYK,LAT,Human
FGF14,FGFR2,Human
FGF14,FGFR1,Human
HLA-C,CD3G,Human
HLA-C,KIR3DL1,Human
HLA-E,KIR3DL1,Human
ACTR2,LDLR,Human
AGRN,ITGB1,Human
INSL3,ADCYAP1R1,Human
INSL3,TSHR,Human
INSL3,GPR84,Human
INSL3,RXFP1,Human
AVP,ADCYAP1R1,Human
AVP,LDLR,Human
AVP,GPR84,Human
AVP,TSHR,Human
RLN2,ADCYAP1R1,Human
RLN2,TSHR,Human
RLN2,GPR84,Human
LAMA1,ITGA6,Human
LAMB3,ITGB1,Human
LAMB3,ITGA6,Human
AFDN,EPHB6,Human
AFDN,NRXN3,Human
AFDN,NECTIN3,Human
COL4A6,ITGB1,Human
SPP1,ITGB3,Human
LGALS9,CD44,Human
LGALS9,SLC1A5,Human
ADM2,ADCYAP1R1,Human
ADM2,TSHR,Human
ADM2,GPR84,Human
COL4A3,ITGB3,Human
COL4A4,ITGB3,Human
HLA-A,CD3G,Human
NPS,ADCYAP1R1,Human
NPS,GPR84,Human
NPS,TSHR,Human
DSCAM,DCC,Human
POMC,ADCYAP1R1,Human
POMC,GPR84,Human
POMC,TSHR,Human
MDK,ITGA6,Human
TF,LDLR,Human
TF,HFE,Human
ARTN,GFRA2,Human
GCG,ADCYAP1R1,Human
GCG,GPR84,Human
GCG,TSHR,Human
RLN3,ADCYAP1R1,Human
RLN3,TSHR,Human
RLN3,GPR84,Human
TNF,FFAR2,Human
CCN1,ITGAM,Human
CCN1,ITGB3,Human
HLA-B,CD3G,Human
CCL24,ACKR2,Human
FSHB,ADCYAP1R1,Human
FSHB,TSHR,Human
FSHB,GPR84,Human
HSPA8,LDLR,Human
CALCB,ADCYAP1R1,Human
CALCB,TSHR,Human
CALCB,GPR84,Human
ADM,ADCYAP1R1,Human
ADM,TSHR,Human
ADM,GPR84,Human
PTHLH,ADCYAP1R1,Human
PTHLH,GPR84,Human
CGA,ADCYAP1R1,Human
S100A10,CFTR,Human
SHANK2,CFTR,Human
PLAU,ITGA3,Human
LAMA3,ITGA3,Human
LAMA4,ITGA3,Human
LAMA2,ITGA3,Human
LAMA1,ITGA3,Human
LGALS8,ITGA3,Human
NID1,ITGA3,Human
LAMC3,ITGA3,Human
LAMB2,ITGA3,Human
COL4A3,ITGA3,Human
LAMA5,ITGA3,Human
LAMC1,ITGA3,Human
LAMB3,ITGA3,Human
COL18A1,ITGA3,Human
VTN,ITGA3,Human
LAMB1,ITGA3,Human
MIF,CD74,Human
HLA-G,CD4,Human
SLPI,CD4,Human
CALM1,SCTR,Human
ST6GAL1,CD22,Human
HP,CD22,Human
CALM2,KCNQ1,Human
CALML3,KCNQ1,Human
CALM1,KCNQ1,Human
CALM3,KCNQ1,Human
FASLG,TNFRSF1A,Human
RTN4,NGFR,Human
OMG,NGFR,Human
APP,NGFR,Human
NTS,NGFR,Human
BDNF,DRD4,Human
CD99,PILRA,Human
LAMA3,ITGB4,Human
LAMA2,ITGB4,Human
LAMC3,ITGB4,Human
LAMB2,ITGB4,Human
LAMA5,ITGB4,Human
LAMC1,ITGB4,Human
LAMA1,ITGB4,Human
LAMB3,ITGB4,Human
LAMB1,ITGB4,Human
RIMS1,SLC17A7,Human
CXCL8,CD79A,Human
FN1,CD79A,Human
C1QB,C1QBP,Human
CXCL13,OPRD1,Human
CALM2,SELL,Human
VCAN,SELL,Human
CALM1,SELL,Human
CALM3,SELL,Human
HLA-E,KLRK1,Human
MICB,KLRK1,Human
MICA,KLRK1,Human
RAET1L,KLRK1,Human
ULBP3,KLRK1,Human
RAET1G,KLRK1,Human
CFC1,ACVR2A,Human
LEFTY1,ACVR2A,Human
GDF1,ACVR2A,Human
INHBE,ACVR2A,Human
LEFTY2,ACVR2A,Human
ADCYAP1,RAMP3,Human
GHRH,RAMP3,Human
CALCA,RAMP3,Human
ADM,RAMP3,Human
CGA,RAMP3,Human
GCG,RAMP3,Human
TSHB,RAMP3,Human
PTH2,RAMP3,Human
AVP,RAMP3,Human
VIP,RAMP3,Human
PTH,RAMP3,Human
ADM2,RAMP3,Human
PTHLH,RAMP3,Human
NPS,RAMP3,Human
FSHB,RAMP3,Human
POMC,RAMP3,Human
RLN2,RAMP3,Human
CALCB,RAMP3,Human
RLN3,RAMP3,Human
GIP,RAMP3,Human
CRH,RAMP3,Human
INSL3,RAMP3,Human
CD55,ADGRE5,Human
CALM2,PDE1B,Human
CALM1,PDE1B,Human
CALM3,PDE1B,Human
APOA2,LRP1,Human
AGRN,LRP1,Human
GPC3,LRP1,Human
APOC2,LRP1,Human
HSPG2,LRP1,Human
PCSK9,LRP1,Human
HSP90B1,LRP1,Human
HSP90AA1,LRP1,Human
APOA4,LRP1,Human
VWF,LRP1,Human
CCN2,LRP1,Human
HPX,LRP1,Human
PF4,LRP1,Human
APP,PTGER2,Human
GNAI2,S1PR4,Human
FADD,TRAF2,Human
WNT4,SMO,Human
BMP2,SMO,Human
HLA-A,LILRA1,Human
HLA-C,LILRA1,Human
HLA-B,LILRA1,Human
AFDN,NECTIN2,Human
ADCYAP1,RAMP2,Human
GHRH,RAMP2,Human
CGA,RAMP2,Human
GCG,RAMP2,Human
TSHB,RAMP2,Human
PTH2,RAMP2,Human
AVP,RAMP2,Human
VIP,RAMP2,Human
PTH,RAMP2,Human
ADM2,RAMP2,Human
PTHLH,RAMP2,Human
NPS,RAMP2,Human
FSHB,RAMP2,Human
POMC,RAMP2,Human
RLN2,RAMP2,Human
CALCB,RAMP2,Human
RLN3,RAMP2,Human
GIP,RAMP2,Human
CRH,RAMP2,Human
INSL3,RAMP2,Human
ADM,RAMP1,Human
VIP,RAMP1,Human
CLEC3A,CLEC10A,Human
VEGFC,LYVE1,Human
PCSK9,SORT1,Human
PSAP,SORT1,Human
DLK1,NOTCH2,Human
ADAM10,NOTCH2,Human
APP,NOTCH2,Human
NGF,KIDINS220,Human
HDC,HRH4,Human
DSC3,DSG1,Human
DSC2,DSG1,Human
DSC1,DSG1,Human
PDGFD,PDGFRA,Human
FGF21,KLB,Human
CALM1,MIP,Human
LTA,RIPK1,Human
TNF,RIPK1,Human
CD14,RIPK1,Human
CALR,HLA-F,Human
HMGB1,TLR2,Human
CCN1,TLR2,Human
HSP90B1,TLR2,Human
SAA1,TLR2,Human
TNC,ITGAV,Human
PLAU,ITGAV,Human
COL4A6,ITGAV,Human
COL4A5,ITGAV,Human
PDGFB,ITGAV,Human
COL4A4,ITGAV,Human
CCN1,ITGAV,Human
VEGFA,ITGAV,Human
COL1A2,ITGAV,Human
SOSTDC1,LRP6,Human
PTH,LRP6,Human
WNT2,LRP6,Human
WNT9B,LRP6,Human
CCN2,LRP6,Human
APP,LRP6,Human
CKLF,LRP6,Human
WNT5A,LRP6,Human
WNT7A,LRP6,Human
PDGFC,PDGFRB,Human
PDGFA,PDGFRB,Human
TNF,FLT4,Human
VEGFD,FLT4,Human
COL1A2,FLT4,Human
FN1,FLT4,Human
ASIP,MGRN1,Human
CALM1,GLP2R,Human
CALM2,TRPC5,Human
CALM1,TRPC5,Human
CALM3,TRPC5,Human
CALM1,KCNN4,Human
EGF,PLD2,Human
HSPA1A,GRIN2D,Human
DLK1,NOTCH3,Human
SCGB3A1,NOTCH3,Human
APP,APLP2,Human
PCSK9,APLP2,Human
TGFB2,ACVR1,Human
CD99,CD81,Human
ARPC5,LRP2,Human
GC,LRP2,Human
AVP,LRP2,Human
APOA2,LRP2,Human
AGRN,LRP2,Human
GPC3,LRP2,Human
TF,LRP2,Human
APOA4,LRP2,Human
EGF,LRP2,Human
HSPA8,LRP2,Human
APOC2,LRP2,Human
HSPG2,LRP2,Human
WNT5A,LRP2,Human
ACTR2,LRP2,Human
LEP,LRP2,Human
GREM1,KDR,Human
VEGFD,KDR,Human
CXCL8,KDR,Human
AFDN,NECTIN1,Human
LAMA1,GPC1,Human
TDGF1,GPC1,Human
BMP2,GPC1,Human
NRG1,GPC1,Human
SERPINC1,GPC1,Human
SHH,GPC1,Human
IL1F10,IL1RL2,Human
TNC,ITGA9,Human
VEGFC,ITGA9,Human
VEGFD,ITGA9,Human
VCAM1,ITGA9,Human
TGM2,ITGA9,Human
VEGFA,ITGA9,Human
CSF2,ITGA9,Human
AGT,ENPEP,Human
SEMA3E,NRP1,Human
SEMA4A,NRP1,Human
CNTN2,NRP1,Human
AFDN,NRXN2,Human
PENK,OPRK1,Human
CALM2,CACNA1C,Human
NCAM1,CACNA1C,Human
CALM1,CACNA1C,Human
CALM3,CACNA1C,Human
NRG3,ERBB3,Human
TGFA,ERBB3,Human
CAMP,IGF1R,Human
S100A4,ERBB2,Human
NRG3,ERBB2,Human
NRG4,ERBB2,Human
HSP90B1,ERBB2,Human
NRG2,ERBB2,Human
HSP90AA1,ERBB2,Human
IFNE,IFNAR1,Human
MMP9,IFNAR1,Human
SYK,FCGR2A,Human
CXCL9,FCGR2A,Human
CALM1,PTH2R,Human
NRTN,GFRA3,Human
GDNF,GFRA3,Human
BCAN,EGFR,Human
S100A4,EGFR,Human
ZP3,EGFR,Human
NRG1,EGFR,Human
FGF1,EGFR,Human
NRG4,EGFR,Human
ARF4,EGFR,Human
ANG,EGFR,Human
FGF13,EGFR,Human
GSTP1,EGFR,Human
CAMP,EGFR,Human
CNTF,EGFR,Human
CCN2,EGFR,Human
LRIG2,EGFR,Human
VEGFA,EGFR,Human
CALM1,EGFR,Human
CALM3,EGFR,Human
EFNA5,EPHA1,Human
EFNA4,EPHA1,Human
CALM1,HTR2C,Human
FASLG,TNFRSF10B,Human
TNF,NOTCH1,Human
WNT4,NOTCH1,Human
PDYN,ADRA2A,Human
AGT,ADRA2A,Human
CXCL12,ADRA2A,Human
CXCL3,ADRA2A,Human
CCL5,ADRA2A,Human
CXCL11,ADRA2A,Human
NMS,ADRA2A,Human
APLN,ADRA2A,Human
SST,ADRA2A,Human
INSL5,ADRA2A,Human
NPY,ADRA2A,Human
CCL25,ADRA2A,Human
POMC,ADRA2A,Human
SAA1,ADRA2A,Human
CXCL8,ADRA2A,Human
PYY,ADRA2A,Human
CCL16,ADRA2A,Human
CXCL2,ADRA2A,Human
CXCL13,ADRA2A,Human
CXCL10,ADRA2A,Human
PPBP,ADRA2A,Human
PMCH,ADRA2A,Human
CXCL5,ADRA2A,Human
CCL19,ADRA2A,Human
PNOC,ADRA2A,Human
APP,ADRA2A,Human
CXCL1,ADRA2A,Human
NPB,ADRA2A,Human
PPY,ADRA2A,Human
CXCL9,ADRA2A,Human
CXCL16,ADRA2A,Human
CCL20,ADRA2A,Human
NPW,ADRA2A,Human
PENK,ADRA2A,Human
CCL28,ADRA2A,Human
RLN3,ADRA2A,Human
PF4,ADRA2A,Human
CORT,ADRA2A,Human
ANXA1,ADRA2A,Human
PDGFC,FLT1,Human
VEGFC,FLT1,Human
PLG,FLT1,Human
VEGFD,FLT1,Human
SORBS1,ITGA1,Human
COL4A6,ITGA1,Human
COL4A5,ITGA1,Human
LAMA2,ITGA1,Human
COL6A1,ITGA1,Human
COL4A4,ITGA1,Human
COL5A1,ITGA1,Human
COL6A2,ITGA1,Human
COL4A3,ITGA1,Human
COL2A1,ITGA1,Human
VEGFD,ITGA1,Human
COL6A3,ITGA1,Human
COL5A2,ITGA1,Human
COL1A2,ITGA1,Human
FBN1,ITGB6,Human
FYN,THY1,Human
SFTPD,LY96,Human
BGN,LY96,Human
WNT1,FZD7,Human
GNAS,ADCY8,Human
GNAI2,ADCY8,Human
CALM1,ADCY8,Human
CALM3,ADCY8,Human
WNT4,FZD1,Human
WNT1,FZD1,Human
IL24,IL10RB,Human
GHRL,PTGIR,Human
DEFB103A,CCR2,Human
DEFB106A,CCR2,Human
S100A4,CCR5,Human
IL16,CCR5,Human
MDK,GPC2,Human
FGF14,FGFR4,Human
FGF11,FGFR4,Human
FGF13,FGFR4,Human
FGF12,FGFR4,Human
PLAU,ITGA5,Human
CCN1,ITGA5,Human
VEGFD,ITGA5,Human
CCN2,ITGA5,Human
GNAS,ADCY9,Human
GNAI2,ADCY9,Human
WNT8A,LRP5,Human
WNT8B,LRP5,Human
CGB5,LHCGR,Human
CGB3,LHCGR,Human
PROS1,MERTK,Human
YARS1,CXCR1,Human
CXCL8,CXCR1,Human
IL17F,IL17RC,Human
FN1,IL17RC,Human
CCL18,CCR1,Human
PLAU,ITGB5,Human
EDIL3,ITGB5,Human
SORBS1,ITGB5,Human
SPP1,ITGB5,Human
TLN1,ITGB5,Human
COL4A2,ITGB5,Human
CCN1,ITGB5,Human
COL18A1,ITGB5,Human
COL4A6,ITGA2,Human
COL4A5,ITGA2,Human
LAMA2,ITGA2,Human
LAMC3,ITGA2,Human
COL6A1,ITGA2,Human
COL4A4,ITGA2,Human
COL11A1,ITGA2,Human
COL6A2,ITGA2,Human
COL4A3,ITGA2,Human
VEGFD,ITGA2,Human
LAMB3,ITGA2,Human
COL4A1,ITGA2,Human
COL7A1,ITGA2,Human
COL3A1,ITGA2,Human
GNAS,ADCY1,Human
RIMS1,SLC18A2,Human
CXCL12,AVPR1A,Human
VIP,AVPR1A,Human
B2M,CD3D,Human
HLA-A,CD3D,Human
HLA-C,CD3D,Human
HLA-B,CD3D,Human
PDYN,MTNR1A,Human
AGT,MTNR1A,Human
CXCL12,MTNR1A,Human
CCL5,MTNR1A,Human
CXCL11,MTNR1A,Human
NMS,MTNR1A,Human
APLN,MTNR1A,Human
NPY,MTNR1A,Human
CCL25,MTNR1A,Human
POMC,MTNR1A,Human
SAA1,MTNR1A,Human
CXCL8,MTNR1A,Human
PYY,MTNR1A,Human
CCL16,MTNR1A,Human
CXCL2,MTNR1A,Human
CXCL10,MTNR1A,Human
PMCH,MTNR1A,Human
CCL19,MTNR1A,Human
CXCL1,MTNR1A,Human
NPB,MTNR1A,Human
PPY,MTNR1A,Human
CXCL9,MTNR1A,Human
CCL20,MTNR1A,Human
NPW,MTNR1A,Human
PENK,MTNR1A,Human
CCL28,MTNR1A,Human
RLN3,MTNR1A,Human
CORT,MTNR1A,Human
ANXA1,MTNR1A,Human
SPP1,PTGER4,Human
GIP,INSR,Human
CALM1,INSR,Human
ACE2,SLC6A19,Human
GHRH,ADRB2,Human
AVP,ADRB2,Human
PTHLH,ADRB2,Human
TF,ADRB2,Human
POMC,ADRB2,Human
RLN2,ADRB2,Human
HSPA8,ADRB2,Human
ADCYAP1,ADRB2,Human
CALCA,ADRB2,Human
ADM,ADRB2,Human
CGA,ADRB2,Human
GCG,ADRB2,Human
VIP,ADRB2,Human
ADM2,ADRB2,Human
NPS,ADRB2,Human
FSHB,ADRB2,Human
CALCB,ADRB2,Human
ACTR2,ADRB2,Human
RLN3,ADRB2,Human
GIP,ADRB2,Human
INSL3,ADRB2,Human
GNAI2,S1PR1,Human
PDGFB,S1PR1,Human
CALM1,GRM5,Human
LAMA1,SDC2,Human
HRAS,SDC2,Human
PLAU,MRC2,Human
LGALS9,MRC2,Human
CER1,MRC2,Human
CALM1,GP6,Human
SHBG,GPRC6A,Human
CALM1,AQP1,Human
INS,LILRB1,Human
TNF,ICOS,Human
GHRH,PTH1R,Human
AVP,PTH1R,Human
POMC,PTH1R,Human
RLN2,PTH1R,Human
ADCYAP1,PTH1R,Human
CALCA,PTH1R,Human
ADM,PTH1R,Human
CGA,PTH1R,Human
GCG,PTH1R,Human
VIP,PTH1R,Human
ADM2,PTH1R,Human
NPS,PTH1R,Human
FSHB,PTH1R,Human
CALCB,PTH1R,Human
RLN3,PTH1R,Human
GIP,PTH1R,Human
INSL3,PTH1R,Human
PDX1,SLC2A2,Human
HLA-B,KIR3DL2,Human
CCL18,CCR8,Human
AVP,VIPR1,Human
