receptor,tf,species
CD28,RNF19A,Human
CD28,RLIM,Human
CD28,ASB6,Human
CD28,RNF14,Human
CD28,FBXO7,Human
CD28,ASB4,Human
CD28,MLXIPL,Human
CD28,AHRR,Human
CD28,RXRA,Human
CD28,ARNT,Human
CD28,AHR,Human
CD28,SREBF2,Human
CD28,NCOA2,Human
CD28,NCOA1,Human
CD28,SCD5,Human
CD28,NR1H4,Human
CD28,ARNT2,Human
CD28,FOXM1,Human
CD28,EEF1A1,Human
CD28,JAG1,Human
CD28,NOTCH4,Human
CD28,NOTCH3,Human
CD28,NOTCH2,Human
CD28,ELF3,Human
CD28,DAB2,Human
CD28,ALYREF,Human
CD28,SRSF3,Human
CD28,U2AF1,Human
CD28,SRSF2,Human
CD28,SRSF9,Human
CD28,SRSF5,Human
CD28,SRSF6,Human
CD28,SRRM1,Human
CD28,DHX38,Human
CD28,TNF,Human
CD28,TNFAIP3,Human
CD28,NF1,Human
CD28,AATF,Human
CD28,SMAD7,Human
CD28,GLI1,Human
CD28,GLI2,Human
CD28,GLI3,Human
CD28,TLE1,Human
CD28,TLE2,Human
CD28,TLE3,Human
CD28,SUFU,Human
CD28,MYCN,Human
CD28,TAX1BP3,Human
CD28,TAX1BP1,Human
CD28,SNW1,Human
CD28,TULP3,Human
CD28,PSIP1,Human
CD28,HMGA1,Human
CD28,HSF1,Human
CD28,ATM,Human
CD28,CCND1,Human
CD28,MDM4,Human
CD28,SMARCA5,Human
CD28,MIS18BP1,Human
CD28,RSF1,Human
CD28,RUVBL1,Human
CD28,BRCA1,Human
CD28,TP53BP1,Human
CD28,UIMC1,Human
CD28,FXR1,Human
CD28,SND1,Human
CD28,KIAA1549,Human
CD28,MECP2,Human
CD28,F2,Human
CD28,GEMIN2,Human
CD28,SNRPB,Human
CD28,SNRPD1,Human
CD28,DDX20,Human
CD28,POLR1C,Human
CD28,POLR1A,Human
CD28,POLR1D,Human
CD28,POLR2E,Human
CD28,TBP,Human
CD28,DEK,Human
CD28,POLR2H,Human
CD28,POLR2K,Human
CD28,POLR2F,Human
CD28,POLR2L,Human
CD28,ERCC6,Human
CD28,TAF1C,Human
CD28,TAF1A,Human
CD28,TAF1B,Human
CD28,KAT2B,Human
CD28,POLR1E,Human
CD28,POLR1B,Human
CD28,BRD2,Human
CD28,RUNX3,Human
CD28,CBFB,Human
CD28,TP73,Human
CD28,RUNX2,Human
CD28,HIVEP3,Human
CD28,JMY,Human
CD28,HDAC3,Human
CD28,TBL1X,Human
CD28,NCOR1,Human
CD28,NCOR2,Human
CD28,RUNX1,Human
CD28,ING2,Human
CD28,NR3C1,Human
CD28,NR3C2,Human
CD28,BACH1,Human
CD28,NFE2L2,Human
CD28,CEBPB,Human
CD28,TSC22D3,Human
CD28,PIAS3,Human
CD28,SP100,Human
CD28,PML,Human
CD28,BRD8,Human
CD28,ING3,Human
CD28,HLTF,Human
CD28,SHPRH,Human
CD28,CTR9,Human
CD28,EIF5B,Human
CD28,KCNIP3,Human
CD28,PER2,Human
CD28,PER1,Human
CD28,CRY1,Human
CD28,HNRNPD,Human
CD28,KHSRP,Human
CD28,RAD51B,Human
CD28,XRCC3,Human
CD28,BRCA2,Human
CD28,RAD51,Human
CD28,KAT5,Human
CD28,BARD1,Human
CD28,BRIP1,Human
CD28,KDM4B,Human
CD28,NSD2,Human
CD28,XPC,Human
CD28,DDB1,Human
CD28,DDB2,Human
CD28,COPS2,Human
CD28,COPS5,Human
CD28,ERCC2,Human
CD28,ERCC3,Human
CD28,GTF2H1,Human
CD28,GTF2H2,Human
CD28,GTF2H3,Human
CD28,GTF2H4,Human
CD28,TCEA1,Human
CD28,ERCC8,Human
CD28,XAB2,Human
CD28,PDCD11,Human
CD28,GCFC2,Human
CD28,PAPOLA,Human
CD28,HNRNPR,Human
CD28,PLRG1,Human
CD28,PQBP1,Human
CD28,FUS,Human
CD28,HNRNPK,Human
CD28,ELAVL2,Human
CD28,SUGP1,Human
CD28,CTNNBL1,Human
CD28,CDC5L,Human
CD28,HNRNPUL1,Human
CD28,WBP11,Human
CD28,UPF1,Human
CD28,SMG1,Human
TNFRSF14,SOS1,Human
TNFRSF14,SOS2,Human
TNFRSF14,EGFR,Human
TNFRSF14,FLT1,Human
TNFRSF14,TRAF6,Human
TNFRSF14,RBCK1,Human
TNFRSF14,MAPK1,Human
TNFRSF14,MAPK3,Human
TNFRSF14,SRSF1,Human
TNFRSF14,IKBKB,Human
TNFRSF14,MAPK8,Human
TNFRSF14,MAPK9,Human
TNFRSF14,MAPK10,Human
TNFRSF14,IKBKG,Human
TNFRSF14,SRC,Human
TNFRSF14,BATF,Human
TNFRSF14,BATF3,Human
TNFRSF14,XBP1,Human
TNFRSF14,IL6,Human
TNFRSF14,BCR,Human
TNFRSF14,PTEN,Human
TNFRSF14,IFNB1,Human
TNFRSF14,IFNG,Human
TNFRSF14,STAT1,Human
TNFRSF14,STAT2,Human
TNFRSF14,IL2,Human
TNFRSF14,STAT5A,Human
TNFRSF14,STAT5B,Human
TNFRSF14,STAT3,Human
TNFRSF14,PSMD9,Human
TNFRSF14,PDGFB,Human
TNFRSF14,PDGFA,Human
TNFRSF14,TNFAIP3,Human
TNFRSF14,TAX1BP1,Human
TNFRSF14,NPM1,Human
TNFRSF14,ETV6,Human
TNFRSF14,TRIP11,Human
TNFRSF14,ZMYM2,Human
TNFRSF14,TLR4,Human
TNFRSF14,IRF3,Human
TNFRSF14,IRF7,Human
TNFRSF14,TRIM25,Human
TNFRSF14,BIN1,Human
TNFRSF14,RUNX1,Human
TNFRSF14,CERS2,Human
TNFRSF14,AKT3,Human
TNFRSF14,AKT1,Human
TNFRSF14,AKT2,Human
TNFRSF14,PRKCA,Human
TNFRSF14,NFKB1,Human
TNFRSF14,RELA,Human
TNFRSF14,ATM,Human
TNFRSF14,TP53,Human
TNFRSF14,SMG6,Human
TNFRSF14,TSG101,Human
TNFRSF14,NFKB2,Human
TNFRSF14,RELB,Human
TNFRSF14,MAPK14,Human
TNFRSF14,MAPK11,Human
TNFRSF14,MAPK13,Human
TNFRSF14,MAPK12,Human
TNFRSF14,ABL1,Human
TNFRSF14,REL,Human
TNFRSF14,RGS14,Human
TNFRSF14,ID1,Human
TNFRSF14,NFKBIA,Human
TNFRSF14,NFKBIB,Human
TNFRSF14,FOXO6,Human
TNFRSF14,FOXO1,Human
TNFRSF14,FOXO3,Human
TNFRSF14,FOXO4,Human
TNFRSF14,HIF1A,Human
TNFRSF14,CCND1,Human
TNFRSF14,PPARG,Human
TNFRSF14,RB1CC1,Human
TNFRSF14,STAT4,Human
TNFRSF14,STAT6,Human
TNFRSF14,CDKN2A,Human
TNFRSF14,PPP3R1,Human
TNFRSF14,WWTR1,Human
TNFRSF14,TEAD1,Human
TNFRSF14,TEAD4,Human
TNFRSF14,TEAD3,Human
TNFRSF14,TEAD2,Human
TNFRSF14,RASGRF1,Human
TNFRSF14,CTNNB1,Human
TNFRSF14,SNAI1,Human
TNFRSF14,BCL3,Human
TNFRSF14,IRF4,Human
TNFRSF14,RORA,Human
TNFRSF14,RORC,Human
TNFRSF14,FOS,Human
TNFRSF14,JUN,Human
TNFRSF14,IRF1,Human
TNFRSF14,ZNF274,Human
TNFRSF14,PRDM4,Human
TNFRSF14,THRA,Human
TNFRSF14,PPARA,Human
TNFRSF14,JUNB,Human
TNFRSF14,SREBF1,Human
TNFRSF14,DAXX,Human
TNFRSF14,HCLS1,Human
TNFRSF14,TLR2,Human
TNFRSF14,NFATC1,Human
TNFRSF14,NFATC2,Human
TNFRSF14,NFATC3,Human
TNFRSF14,NR1H3,Human
TNFRSF14,RXRA,Human
TNFRSF14,RB1,Human
TNFRSF14,RBL1,Human
TNFRSF14,RBL2,Human
TNFRSF14,IRF9,Human
TNFRSF14,AR,Human
TNFRSF14,MYC,Human
TNFRSF14,CEBPA,Human
TNFRSF14,SPI1,Human
TNFRSF14,SMARCA2,Human
TNFRSF14,SMARCA4,Human
TNFRSF14,SMARCB1,Human
TNFRSF14,SMARCC1,Human
TNFRSF14,SMARCC2,Human
TNFRSF14,SMARCD1,Human
TNFRSF14,SMARCD2,Human
TNFRSF14,SMARCD3,Human
TNFRSF14,SMARCE1,Human
TNFRSF14,DPF1,Human
TNFRSF14,ARID1A,Human
TNFRSF14,BBC3,Human
TNFRSF14,RFC1,Human
TNFRSF14,TRIM24,Human
TNFRSF14,CUX1,Human
TNFRSF14,LRRFIP1,Human
TNFRSF14,CNTRL,Human
TNFRSF14,EGF,Human
TNFRSF14,VHL,Human
TNFRSF14,LIMD1,Human
TNFRSF14,EPAS1,Human
TNFRSF14,HIF3A,Human
TNFRSF14,WWP1,Human
TNFRSF14,PGR,Human
TNFRSF14,MXD4,Human
TNFRSF14,HMGB1,Human
TNFRSF14,ESR1,Human
TNFRSF14,ESR2,Human
TNFRSF14,TRIM27,Human
TNFRSF14,MAF1,Human
TNFRSF14,PDLIM7,Human
TNFRSF14,PDX1,Human
TNFRSF14,PTF1A,Human
TNFRSF14,ARHGAP35,Human
TNFRSF14,SOX9,Human
TNFRSF14,RNPS1,Human
TNFRSF14,UPF2,Human
TNFRSF14,TNFSF12,Human
TNFRSF14,TNF,Human
TNFRSF14,SLA2,Human
TNFRSF14,TRIM21,Human
TNFRSF14,UBE2K,Human
TNFRSF14,RNF4,Human
TNFRSF14,ZBTB16,Human
TNFRSF14,TRIM32,Human
TNFRSF14,ASB9,Human
TNFRSF14,ASB8,Human
TNFRSF14,SMURF2,Human
TNFRSF14,RNF19A,Human
TNFRSF14,RLIM,Human
TNFRSF14,ASB6,Human
TNFRSF14,RNF14,Human
TNFRSF14,FBXO7,Human
TNFRSF14,ASB4,Human
TNFRSF14,KNTC1,Human
TNFRSF14,AHCTF1,Human
TNFRSF14,CENPK,Human
TNFRSF14,MLXIPL,Human
TNFRSF14,NME2,Human
TNFRSF14,AHRR,Human
TNFRSF14,ARNT,Human
TNFRSF14,AHR,Human
TNFRSF14,SREBF2,Human
TNFRSF14,NCOA2,Human
TNFRSF14,NCOA1,Human
TNFRSF14,SCD5,Human
TNFRSF14,NR1H4,Human
TNFRSF14,ARNT2,Human
TNFRSF14,ENO1,Human
TNFRSF14,TGFB1,Human
TNFRSF14,EEF1A1,Human
TNFRSF14,JAG1,Human
TNFRSF14,NOTCH4,Human
TNFRSF14,NOTCH3,Human
TNFRSF14,NOTCH2,Human
TNFRSF14,DAB2,Human
TNFRSF14,GLI3,Human
TNFRSF14,APC,Human
TNFRSF14,SUFU,Human
TNFRSF14,NF1,Human
TNFRSF14,AATF,Human
TNFRSF14,SMAD7,Human
TNFRSF14,GLI1,Human
TNFRSF14,GLI2,Human
TNFRSF14,TLE1,Human
TNFRSF14,TLE2,Human
TNFRSF14,TLE3,Human
TNFRSF14,MYCN,Human
TNFRSF14,MEN1,Human
TNFRSF14,JUP,Human
TNFRSF14,HSF1,Human
TNFRSF14,CDKN1A,Human
TNFRSF14,MDM4,Human
TNFRSF14,PTTG1,Human
TNFRSF14,MDM2,Human
TNFRSF14,FOXM1,Human
TNFRSF14,FXR1,Human
TNFRSF14,SND1,Human
TNFRSF14,KIAA1549,Human
TNFRSF14,MECP2,Human
TNFRSF14,F2,Human
TNFRSF14,RAD51B,Human
TNFRSF14,BRCA1,Human
TNFRSF14,BRCA2,Human
TNFRSF14,RAD51,Human
TNFRSF14,BARD1,Human
TNFRSF14,BRIP1,Human
TNFRSF14,IL1B,Human
TNFRSF14,XRCC6,Human
TNFRSF14,XRCC5,Human
TNFRSF14,IFI16,Human
TNFRSF14,NR1H2,Human
TNFRSF14,HIVEP3,Human
TNFRSF14,BRD2,Human
TNFRSF14,EP300,Human
TNFRSF14,RUNX3,Human
TNFRSF14,CBFB,Human
TNFRSF14,TP73,Human
TNFRSF14,RUNX2,Human
TNFRSF14,JMY,Human
TNFRSF14,RING1,Human
TNFRSF14,SSRP1,Human
TNFRSF14,RNF2,Human
TNFRSF14,SUPT16H,Human
TNFRSF14,NR3C2,Human
TNFRSF14,BACH1,Human
TNFRSF14,NFE2L2,Human
TNFRSF14,TSC22D3,Human
TNFRSF14,BRD8,Human
TNFRSF14,ING3,Human
TNFRSF14,HLTF,Human
TNFRSF14,SHPRH,Human
TNFRSF14,CTR9,Human
TNFRSF14,RUVBL1,Human
TNFRSF14,EIF5B,Human
TNFRSF14,PER2,Human
TNFRSF14,PER1,Human
TNFRSF14,CRY1,Human
TNFRSF14,HNRNPD,Human
TNFRSF14,XRCC3,Human
TNFRSF14,KAT5,Human
TNFRSF14,KDM4B,Human
TNFRSF14,NSD2,Human
TNFRSF14,TP53BP1,Human
TNFRSF14,PIAS4,Human
TNFRSF14,UIMC1,Human
TNFRSF14,XPC,Human
TNFRSF14,DDB1,Human
TNFRSF14,DDB2,Human
TNFRSF14,COPS2,Human
TNFRSF14,COPS5,Human
TNFRSF14,ERCC2,Human
TNFRSF14,ERCC3,Human
TNFRSF14,GTF2H1,Human
TNFRSF14,GTF2H2,Human
TNFRSF14,GTF2H3,Human
TNFRSF14,GTF2H4,Human
TNFRSF14,TCEA1,Human
TNFRSF14,ERCC6,Human
TNFRSF14,ERCC8,Human
TNFRSF14,XAB2,Human
TNFRSF14,GCFC2,Human
TNFRSF14,PAPOLA,Human
TNFRSF14,POLR2D,Human
TNFRSF14,HNRNPR,Human
TNFRSF14,PLRG1,Human
TNFRSF14,PQBP1,Human
TNFRSF14,GTF2F2,Human
TNFRSF14,SNRPB,Human
TNFRSF14,POLR2C,Human
TNFRSF14,POLR2E,Human
TNFRSF14,POLR2A,Human
TNFRSF14,POLR2B,Human
TNFRSF14,GTF2F1,Human
TNFRSF14,FUS,Human
TNFRSF14,POLR2I,Human
TNFRSF14,RBMX,Human
